"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
2;",,,,,,,,,,,,,,,,,,,";"buzzardLabel";20;"";;;
3;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
4;"R2,R1,R11,R19,R17,R14,R18";"0603R";7;"1K";;;
5;"C3,C8,C4,C6,C5";"0603C";5;"C0603C102K5RACTU";;;
6;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
7;"U2";"SOT-363";1;"NMOS-DUAL";;;
8;"Q1";"SOT-23-3";1;"NPN";;;
9;"R16,R20";"0402R";2;"2k2";;;
10;"R10,R15,R9,R13";"0603R";4;"1M";;;
11;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
12;"K5,K3";"easyC-connector";2;"easyC-SMD";;;
13;"C14";"0805C";1;"C1608X7S1A475K080AC";;;
14;"R12";"0603R";1;"100K";;;
15;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
16;"C13,C11";"0805C";2;"CL10A226MP8NUNE";;;
17;"C16";"1206C";1;"10u";;;
18;"R4,R6,R3,R7";"0603R";4;"10K";;;
19;"U4";"tps613222a";1;"TPS613222A";;;
20;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
21;"K4";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
22;"D2,D3,D1";"M4_DIODA";3;"M4_DIODA";;;
23;"D4,D5";"0402LED";2;"blue";;;
24;"U3";"SOIC-8-SWB";1;"LM358DR";;;
25;"G***";"Symbol-Front-RFID";1;"LOGO";;;
26;"C9,C2,C1,C15,C10";"0603C";5;"100n";;;
27;"Q2";"SOT-23-3";1;"PNP";;;
28;"K6";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
29;"C7,C12";"0805C";2;"CL21A475KBQNNNE";;;
30;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
31;"JP4,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
32;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
33;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
34;"K7";"DSHP03TS-S";1;"DSHP03TS-S";;;
35;"K1";"S2B-XH-A";1;"S2B-XH-A";;;
36;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
37;"R8";"0603R";1;"10";;;
38;"R5";"0603R";1;"220";;;
39;"U1";"SOIC-14";1;"ATTINY1604-SSNR";;;
40;"Ref**";"Version1.0.0.";1;"Val**";;;
