"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1,R19,R17,R18";"0603R";5;"1k";;;
2;"C3";"0603C";1;"GRM1885C1H332JA01J";;;
3;"H4,H1,H2,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"U2,U6";"SOT-363";2;"NMOS-DUAL";;;
5;"R16,R20";"0402R";2;"2k2";;;
6;"R10,R9,R13";"0603R";3;"1M";;;
7;"K5,K3";"easyC-connector";2;"easyC-SMD";;;
8;"R12";"0603R";1;"100k";;;
9;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
10;"R11";"0603R";1;"220R";;;
11;"C16";"1206C";1;"10u";;;
12;"R4,R15,R21,R6,R3,R22,R7,R23,R24";"0603R";9;"10k";;;
13;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
14;"D2,D3,D1";"M4_DIODA";3;"M4_DIODA";;;
15;"Q2";"SOT-23-3";1;"SI2302DS";;;
16;"D4,D5";"0402LED";2;"blue";;;
17;"K1";"S2B-XH-A(LF)(SN)";1;"S2B-XH-A(LF)(SN)";;;
18;"C8,C6";"0603C";2;"C0603C102K5RACTU";;;
19;"JP5";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
20;"C9,C10,C2,C1,C15,C12";"0603C";6;"100n";;;
21;"C7";"0805C";1;"CL21A475KBQNNNE";;;
22;"JP6";"SMD_JUMPER";1;"SMD_JUMPER";;;
23;"JP4,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
24;"C13,C11";"0603C";2;"2u2";;;
25;"K7";"DSHP03TS-S";1;"DSHP03TS-S";;;
26;"U3";"MSOP-8";1;"SGM358YMS/TR";;;
27;"C4";"0603C";1;"GRM1885C1H101JA01D";;;
28;"U4";"SOT-23-5";1;"SE5218";;;
29;"Q1";"SOT-23-3";1;"SI2301DS";;;
30;"R14";"0603R";1;"4k7";;;
31;"C5";"0603C";1;"DNP";;;
32;"R8,R5";"0603R";2;"10R";;;
33;"U1";"SOIC-14";1;"ATTINY1604-SSNR";;;
34;"K4";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
35;"K6";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
